"","it","dim","N","pr","lh","prior"
"4001",4001,3,408.897717791802,0.00699559118666528,-5546.0882433058,-954.584987767229
"4002",4002,3,346.830532543945,0.00128176816461082,-5539.16719943416,-953.156047051249
"4003",4003,3,269.181182063301,0.002734817810007,-5546.61730948317,-949.101316065676
"4004",4004,3,370.521096625994,0.00276458379700437,-5543.36776551124,-949.540980254513
"4005",4005,3,289.396198034397,0.00262984825778924,-5551.58861911331,-943.543619223344
"4006",4006,3,295.181777596211,0.00303095440604204,-5538.07695620463,-950.967636157156
"4007",4007,4,269.099805596205,0.00428068051505185,-5465.74599619911,-1030.34581240897
"4008",4008,4,202.575751504757,0.00314256946807328,-5459.73008997202,-1031.63650453203
"4009",4009,4,157.741455645577,0.00360676506124361,-5464.6072910625,-1034.74270429533
"4010",4010,4,227.763845200048,0.000896365737849491,-5467.64813540964,-1029.63755943223
"4011",4011,4,191.957790339508,0.00401030631893232,-5465.16265856201,-1030.26509769761
"4012",4012,4,193.219446300427,0.00467376260009291,-5458.46435746551,-1036.18931783376
"4013",4013,4,161.155531013908,0.00202471903089821,-5462.86803090409,-1028.92420913615
"4014",4014,4,179.428740989311,0.00417822864626384,-5465.93113066571,-1027.06738735897
"4015",4015,4,235.579127272124,0.00435835737980255,-5460.71059758918,-1030.54806652329
"4016",4016,5,232.77952446333,0.00343098875368337,-5443.96927939215,-1059.71928882573
"4017",4017,4,172.098473338222,0.00420019281606159,-5459.9336516638,-1035.1683799721
"4018",4018,4,210.696680197268,0.00543214531755994,-5463.37486623356,-1031.35408653857
"4019",4019,4,208.596854169732,0.00523522122118201,-5464.11615914575,-1030.66343051701
"4020",4020,5,251.228886159366,0.00189586378496026,-5448.36847817177,-1065.91991372294
"4021",4021,4,165.424339321646,0.00240623611363077,-5476.75267165046,-1022.33744253322
"4022",4022,4,171.303883422103,0.00115357739140137,-5467.92702775696,-1025.93569278826
"4023",4023,4,398.750418480344,0.000726317443911737,-5474.14809413239,-1027.5178300802
"4024",4024,4,168.083901429259,0.00361220464020136,-5464.38950880932,-1025.48881618733
"4025",4025,4,155.677372532983,0.00600706342112114,-5463.37931143896,-1025.45989032516
"4026",4026,4,164.63353501037,0.00455099537710469,-5459.83016287924,-1029.95344449986
"4027",4027,4,131.425913561641,0.00429211956116132,-5464.54464086334,-1030.23277420431
"4028",4028,4,296.823428129759,0.00503016255849592,-5461.64616074916,-1031.1951165867
"4029",4029,5,196.669980545163,0.00330662772258959,-5365.84080571102,-1132.76479047199
"4030",4030,5,226.588530313978,0.00735294930560461,-5363.9958225872,-1137.33859715493
"4031",4031,5,196.02867590985,0.00529976047003988,-5365.63216554391,-1137.10495079833
"4032",4032,5,203.070558865839,0.00484627607739876,-5361.45282686685,-1129.40568281813
"4033",4033,5,171.01090472662,0.00466820904332859,-5361.9054560448,-1134.85933871096
"4034",4034,5,244.490027462999,0.00455974177990732,-5372.74361601434,-1129.21569105669
"4035",4035,5,167.633199592203,0.00525791023815182,-5361.78517121259,-1130.0598251641
"4036",4036,5,122.202178782969,0.00613185856217999,-5360.50350384314,-1132.05375578352
"4037",4037,6,214.994660580442,0.00319157601213865,-5342.56315453983,-1164.11860577505
"4038",4038,5,257.055807708868,0.00294991438437124,-5372.7013494028,-1129.25817228564
"4039",4039,5,240.548936520741,0.00975121022280258,-5365.51329388631,-1132.68526527933
"4040",4040,5,180.146193681195,0.00492521584595401,-5368.04556361065,-1128.32310219952
"4041",4041,5,197.356917395857,0.00575768255631025,-5362.75456094262,-1128.24066825638
"4042",4042,5,185.823046570294,0.00283008759228988,-5360.98039520808,-1138.6237647311
"4043",4043,5,158.784496344471,0.0028039472101721,-5367.18561686582,-1127.97483588381
"4044",4044,5,191.658081083531,0.00259644339334301,-5371.16370658694,-1125.45737634129
"4045",4045,5,251.56164479827,0.00155489666929189,-5367.70404880903,-1130.08034629751
"4046",4046,5,139.195552142051,0.00246349652578857,-5366.9708891443,-1124.79587137834
"4047",4047,5,188.930906326826,0.00526656396242748,-5369.69106108071,-1131.90536107993
"4048",4048,5,177.157605958452,0.00532661143169259,-5361.68438947237,-1131.78643865684
"4049",4049,5,122.34413653823,0.00210538711343406,-5373.98387127433,-1124.99291326681
"4050",4050,4,352.053563657652,0.00228194699391646,-5442.86084964365,-1054.45986845641
"4051",4051,4,309.990388487836,0.0038884095215239,-5443.88055068699,-1051.52187669895
"4052",4052,4,298.149838288572,0.00269297017486667,-5442.68190525995,-1052.65546913985
"4053",4053,4,220.211780434959,0.00445657256576424,-5439.66699865676,-1051.88101776332
"4054",4054,3,265.541250140594,0.00283833342519959,-5540.54184352298,-958.934738617804
"4055",4055,3,506.053554465169,0.00184275345281379,-5549.8513818794,-952.075095960867
"4056",4056,3,275.780820687861,0.00353497019826768,-5541.83416151258,-947.309648541738
"4057",4057,3,184.821704602628,0.00352726931031655,-5538.16498822349,-949.954961198485
"4058",4058,3,214.75579952364,0.0039513310349561,-5543.26078332704,-946.574924947804
"4059",4059,3,218.411573229433,0.00313354995600273,-5543.13158240246,-946.814175708188
"4060",4060,4,211.125368091135,0.00568775701423315,-5445.32200636384,-1063.12628577308
"4061",4061,5,223.193517239473,0.00327663397708975,-5361.71473698222,-1131.69948812146
"4062",4062,5,228.71476316259,0.00392664947636005,-5373.8737943911,-1129.6269799051
"4063",4063,5,262.528707165874,0.00938700793546534,-5361.93357163685,-1136.70631024068
"4064",4064,5,197.043130668274,0.0006900873544102,-5372.36116689218,-1129.21681727712
"4065",4065,5,172.718832037923,0.00247694725720727,-5368.06960482183,-1128.12332876572
"4066",4066,5,266.478007489395,0.00415316320934391,-5364.99521473646,-1133.99519344589
"4067",4067,5,121.17833927757,0.0427014946886605,-5368.15811082121,-1132.61722930864
"4068",4068,5,181.013422348749,0.00552187201742044,-5362.19040527217,-1139.93554179521
"4069",4069,5,237.851654532921,0.00491075290132335,-5360.96684360387,-1137.24611731335
"4070",4070,4,144.310491395434,0.0575289064306625,-5392.38494386757,-1108.66392427959
"4071",4071,5,215.380815448389,0.00473422700058546,-5365.08704317897,-1128.54003051629
"4072",4072,5,227.425936980454,0.00197204761417868,-5375.35248627452,-1126.04118394853
"4073",4073,5,297.824494059955,0.00217666103402346,-5368.39670899841,-1129.98826845139
"4074",4074,5,209.671726353541,0.00279696942586605,-5364.30406412699,-1130.05034164778
"4075",4075,5,146.794760440666,0.00543223296754569,-5365.02811639563,-1131.2383141448
"4076",4076,5,164.87021234035,0.00370649568889574,-5363.83619383225,-1133.55169798332
"4077",4077,5,264.587819860498,0.00236403346966823,-5364.89451480569,-1140.03084605652
"4078",4078,5,234.499586154573,0.0064376302076373,-5370.49772650613,-1134.96569771201
"4079",4079,5,196.004342031735,0.00228562671414304,-5366.31585977768,-1126.04361719379
"4080",4080,5,155.381243025563,0.00406604973546083,-5369.67655594155,-1128.70982163556
"4081",4081,5,188.09796742426,0.00406876838075792,-5367.20864429629,-1131.71463817238
