"","it","t_mid","K","time","br","pr"
"18289",4001,11.6274489784497,436.807399980399,-37.2089420292584,956,0.563253887930597
"18290",4001,22.5914604222928,1506.89144144932,-33.0561997724714,429,0.316247653393569
"18291",4001,44.8666470525876,613.244912760439,-45.9404527703596,272,0.113502867489158
"18292",4002,10.2802055516689,385.602426319029,-36.9528215535306,956,0.561948641412075
"18293",4002,21.5845933280599,1250.70814911738,-32.8223028793112,429,0.335626632978733
"18294",4002,46.3475584899127,466.528047178275,-47.2684290050468,272,0.101142957444571
"18295",4003,7.66352921388911,311.579490577536,-36.9348356377431,956,0.56377180147851
"18296",4003,16.1545334806509,714.065713813474,-32.9124215720149,429,0.319558627772922
"18297",4003,46.8432440184573,670.386435658803,-45.2454595759078,272,0.113934752938551
"18298",4004,8.61315061629597,347.918955973874,-36.9726212486209,956,0.52252656617648
"18299",4004,16.7236432668043,776.234505112991,-32.7885410770868,429,0.3410127165964
"18300",4004,51.407683579685,609.689294535098,-45.8229507873238,272,0.133696133430105
"18301",4005,10.0558094608468,360.144238990176,-37.0122409693705,956,0.563460119956658
"18302",4005,14.1454335563655,646.079912473739,-32.9261138929987,429,0.323918250871723
"18303",4005,44.6166191516855,418.828312431737,-50.0442468469364,161,0.10999178091382
"18304",4006,11.7191745689796,459.006296950834,-36.9902862256798,956,0.558843229608488
"18305",4006,21.1961705316352,1317.45392257216,-32.8036645171596,429,0.323982854664987
"18306",4006,36.4239064432346,351.195816094851,-46.8248575756874,272,0.114142961320473
"18307",4007,9.45212960393911,348.497510409236,-36.9158125260227,956,0.552281260257639
"18308",4007,15.6878728333064,772.268510423993,-32.8152253345493,429,0.309284375475126
"18309",4007,15.3309744712503,89.6733291331206,-46.1124953663053,272,0.041443150542027
"18310",4007,20.8793840193949,298.923681627379,-35.2375221614054,827,0.0927105332101453
"18311",4008,9.41022476879069,394.50589805916,-36.9638376885415,956,0.564639604215175
"18312",4008,21.0779668802896,1165.17525534997,-32.8859644381852,429,0.319921738543369
"18313",4008,10.9201301186816,66.3848917616447,-45.0418502234953,272,0.0302853629313402
"18314",4008,14.0290614821537,137.982199545609,-35.3558630857624,827,0.0820107248420327
"18315",4009,11.68898822088,480.086812568583,-37.0186736956181,956,0.553883616745981
"18316",4009,21.8510626313715,1358.77204725933,-32.8700125648157,429,0.327252394026471
"18317",4009,46.6004784506066,305.399541344168,-47.6294870890465,272,0.0251233464846069
"18318",4009,16.9274224890387,189.030155194413,-36.0572263915546,716,0.0901338776816878
"18319",4010,9.06195093342147,379.18729951199,-36.9200592598657,956,0.547710682444852
"18320",4010,12.0974668442208,598.591900016455,-32.7934616402853,429,0.323532446604344
"18321",4010,17.3556966379103,101.437863870189,-44.85565396282,272,0.0475754387258552
"18322",4010,23.7415656375163,276.00771804906,-35.4778327965531,827,0.0802850664870895
"18323",4011,8.27062139436394,320.672611018999,-37.028579135082,956,0.529581381675377
"18324",4011,19.2840626960106,1105.60271151731,-32.7646997777704,429,0.327372903244803
"18325",4011,22.585869451514,209.591802600706,-45.2721575795079,272,0.0380816616354627
"18326",4011,20.6150176009115,210.760642411129,-35.2677978698168,827,0.100953747125415
"18327",4012,9.18445675803326,380.091380910757,-36.9378326073499,956,0.507067826357747
"18328",4012,22.8648154657479,1463.5339609606,-32.8582975876137,429,0.37573421256247
"18329",4012,9.99528584240705,71.1054266817822,-45.4606823881058,272,0.0273680472152375
"18330",4012,15.3555843806704,178.383160028512,-34.7710665581013,827,0.0851561512644432
"18331",4013,11.961479158832,440.265457183579,-36.9575848631619,956,0.546238972339771
"18332",4013,15.2675122876379,839.065844354402,-32.8064520728276,429,0.327867213668201
"18333",4013,30.2103054540025,193.96165634338,-46.5490176079582,272,0.0377464447633538
"18334",4013,14.8584147667879,178.30661433912,-34.8695038752077,827,0.0861226501977663
"18335",4014,9.93797237677549,410.403212634075,-36.9351251191476,956,0.575729709150898
"18336",4014,14.9767171091297,705.727126610814,-32.8161265027138,429,0.318947903057486
"18337",4014,14.9298944072356,101.869082505382,-46.7117164584816,272,0.0254728185575308
"18338",4014,16.6587747983079,156.676357615393,-36.4043141755668,716,0.0756713405878117
"18339",4015,9.57550662687829,381.221501155591,-36.9432889633624,956,0.544384485793994
"18340",4015,21.0492902962647,1250.64723579451,-32.9656169761525,429,0.327588885665258
"18341",4015,30.4249350689352,249.420822668796,-46.2708431997654,272,0.0370293742225885
"18342",4015,14.1559245876885,132.713224898868,-35.1599517656866,827,0.0866388969383469
"18343",4016,10.0812018896471,370.140180624565,-36.9769555742243,956,0.548204433908656
"18344",4016,16.3619290281325,869.853319246674,-32.8466156048364,429,0.332210373014658
"18345",4016,81.0651582118012,471.521021651671,-45.7798388262467,272,0.0290568150265315
"18346",4016,10.3439385329269,99.1698030592654,-36.6619539426092,716,0.0804080230720227
"18347",4016,48.7189229529277,264.225707422162,-44.338595945745,383,0.00668936622443862
"18348",4017,10.5321796496156,392.28379257426,-36.9769555742243,956,0.557306552652308
"18349",4017,25.224885326941,1725.15382996624,-32.7889399055063,429,0.31320070780053
"18350",4017,23.0123321919494,216.101283287435,-45.6187770691992,272,0.0335484948356774
"18351",4017,15.2658262121532,137.598331198032,-35.3026751083136,827,0.0917440518954131
"18352",4018,11.2934404042814,463.898443792238,-37.0093221860516,956,0.527764011811545
"18353",4018,18.1327390138201,1061.87591839332,-32.7690769610224,429,0.347076682974902
"18354",4018,29.5991788657396,268.292051681021,-46.4011201325388,272,0.0285646267055126
"18355",4018,11.857868432769,132.113467599085,-35.1348892510627,827,0.0911625331904702
"18356",4019,8.7278851286403,366.786565064195,-36.9824738885746,956,0.560409931371735
"18357",4019,18.9787677781732,1037.01896415424,-33.0151129392442,429,0.315842107931273
"18358",4019,36.0238196801025,297.732342182142,-45.7637834974986,272,0.0348535747374464
"18359",4019,21.3179972944775,218.686483774599,-35.7044051468053,827,0.083659164738354
"18360",4020,12.4105555880575,454.528851377578,-36.992224548793,956,0.529203432685594
"18361",4020,17.3795820335067,898.031272456669,-32.7431958476848,429,0.339354696896189
"18362",4020,44.8112455374327,194.07281106017,-45.3744014154565,272,0.0241950644731949
"18363",4020,23.1019068937375,281.998781283599,-35.6184089361665,827,0.0857437277440703
"18364",4020,20.6955807765301,267.238748520497,-39.8618818454713,383,0.0196072144159821
"18365",4021,9.55315217040363,381.429379115244,-37.0369019093916,956,0.530502788614013
"18366",4021,18.5214827499735,1008.60818632131,-32.8389539643191,429,0.352363136923733
"18367",4021,40.7742068830709,180.214172167675,-46.1473741287908,272,0.0316642951445096
"18368",4021,15.2090434766526,170.153794753549,-39.8206327150144,383,0.083063543204104
"18369",4022,10.4029855838574,393.88679335306,-36.9778350820607,956,0.551448602475063
"18370",4022,18.6778904620074,1047.39585966075,-32.8312205671284,429,0.332437919502211
"18371",4022,30.2253598500556,179.691160848931,-45.1780179923887,272,0.0284983150599375
"18372",4022,20.1598809871721,201.094313160135,-37.7085732860846,605,0.0864615855713771
"18373",4023,11.1980075670017,413.938714227445,-37.0029668338256,956,0.550834293551679
"18374",4023,16.4348531359978,780.494994808794,-32.8747712389795,429,0.328937967945856
"18375",4023,97.7439727487879,474.786997691314,-72.3389527889056,50,0.0322088086714301
"18376",4023,11.6751514633348,133.774264789581,-34.7198224931449,827,0.087292612387113
"18377",4024,9.45392481567845,387.609777959722,-36.9646735799785,956,0.563623958028628
"18378",4024,15.1008637641945,785.327417400254,-32.7952161656139,429,0.317526645668107
"18379",4024,18.2150038146169,181.837121196217,-36.5727421151948,716,0.0836554355043217
