"","it","t_mid","K","time","br","pr"
"16635",4001,18.2034907312849,956.934884046142,-36.8789438327442,548,0.575314923020597
"16636",4001,25.0844160395406,841.270788096431,-29.5734900811792,697,0.0397929010212257
"16637",4001,11.6004138038399,294.096395545278,-32.8818499032042,26,0.219442242177009
"16638",4001,9.69592081897117,203.966221202252,-38.1578840176884,951,0.129755805477159
"16639",4001,99.6245187497997,509.474570055227,-57.1017249358821,495,0.0343886161022588
"16640",4002,20.6321745721485,1133.87618443179,-36.8513100776261,548,0.552267181700023
"16641",4002,9.87021169485995,163.678478538186,-29.5618570387263,697,0.0391627700312335
"16642",4002,11.3704670649642,310.611992812446,-32.7413710066556,26,0.23027160019348
"16643",4002,15.4176986274015,282.673491666423,-38.3032964595892,951,0.131626939284721
"16644",4002,84.4635601379559,306.089129460656,-58.8055398281336,495,0.0441530070249977
"16645",4003,20.9969893713368,1238.98132534733,-36.8874880337043,548,0.561856711723398
"16646",4003,8.94604739363561,159.922399887823,-29.4807635416896,697,0.0358982731238914
"16647",4003,11.6897392789651,264.439355904722,-33.400309021922,24,0.233756821577002
"16648",4003,9.76561628549077,196.025939246414,-38.2869468620961,951,0.126488954392472
"16649",4003,9.50031733601048,51.0481771116267,-49.0717619268804,495,0.0385049166150454
"16650",4004,20.4854567107628,1178.58620531755,-36.8429789299639,548,0.569003246469947
"16651",4004,9.00177596942579,153.002630185284,-29.6712133091784,697,0.0457870707310874
"16652",4004,10.8078465062873,247.531888342049,-32.9107200585116,26,0.205777257667016
"16653",4004,11.663680803282,201.52576271443,-37.9839298083193,1006,0.135255967168492
"16654",4004,68.7957505135287,150.292243444556,-72.8847970988076,17,0.0441187021979543
"16655",4005,25.5256609817965,1583.26195614126,-37.2197630216404,524,0.579906145603294
"16656",4005,17.1325549240879,495.012547089276,-29.664964744048,697,0.0397107489991212
"16657",4005,12.8131412488899,296.20526429889,-32.9841670325332,26,0.217766425880732
"16658",4005,13.8740740444502,226.307740193975,-38.3386197010263,951,0.118014967609021
"16659",4005,93.7037632408191,258.382886833097,-73.8627254194505,17,0.0441469506206888
"16660",4006,26.4007051359987,1661.89317105754,-37.1878012942729,524,0.595846333271938
"16661",4006,12.5153564904111,262.868466679146,-30.3933961007217,693,0.0439780395499033
"16662",4006,10.8479203708195,246.7475097926,-32.8942039529044,26,0.200712151298641
"16663",4006,10.5267032845415,177.881175078214,-38.0044600511642,1006,0.109486145044463
"16664",4006,82.6930642279705,305.40998916615,-62.0600336816222,495,0.0481464464647816
"16665",4007,21.8554365105285,1268.66582040891,-36.9462634868063,548,0.545998716599411
"16666",4007,10.0153198969111,177.892628502202,-29.5106826824027,697,0.0379247920335273
"16667",4007,11.9210572713646,274.419623565491,-33.0119295072644,26,0.232125396392178
"16668",4007,15.4755867718908,306.369303765894,-38.0018290614685,1006,0.130021815320599
"16669",4007,64.1159212930401,219.262309303143,-61.3597421645523,495,0.0513248861392458
"16670",4008,24.7235654115893,1442.96105529172,-37.360895868113,524,0.565888353509642
"16671",4008,11.2081875312045,202.161227739805,-29.6760171195073,697,0.031963027889243
"16672",4008,13.1970268147223,315.925122385126,-33.5513071530442,24,0.230174055942237
"16673",4008,16.4285244060025,278.492847403595,-38.0018290614685,1006,0.120243449369032
"16674",4008,53.4976636038847,309.566611021564,-52.6065854579961,495,0.0491033842317377
"16675",4009,29.7951004301751,1951.62827549227,-36.8099774129918,548,0.534575258457114
"16676",4009,15.9741534232215,398.450960313893,-29.7448745282251,697,0.0350210924778774
"16677",4009,10.2158820470458,248.828907663587,-33.4270916525286,24,0.246030451362564
"16678",4009,7.390255336453,157.969717483274,-38.208475183345,951,0.13057910841041
"16679",4009,47.7391145039136,203.429021020484,-53.1643922340911,495,0.0526759842619067
"16680",4010,27.700268570262,1698.174341486,-36.9410596712265,548,0.556751428991968
"16681",4010,13.237974566166,346.683674125513,-29.5718000803285,697,0.0336102109551718
"16682",4010,13.2678978379415,351.69813758582,-33.8123417013119,23,0.241307634299484
"16683",4010,16.3941570372145,291.757838181277,-38.3307351105574,951,0.120347609195457
"16684",4010,89.4720957429026,390.890522750737,-57.1222675083821,495,0.0447801107313439
"16685",4011,28.5632004710663,1666.33429447671,-36.7281440797359,586,0.534031361261085
"16686",4011,5.00089168187318,95.3610103996823,-29.5044140714808,697,0.0389662618491371
"16687",4011,11.5680209343221,282.477660654992,-32.8233239067478,26,0.222761125361493
"16688",4011,12.7197005759248,290.434403372049,-38.2064099472899,951,0.170957348157188
"16689",4011,18.1042492039127,67.6410612913157,-52.8001566094693,495,0.0323846996117914
"16690",4012,23.8794710512036,1459.05229842024,-37.2158601005993,524,0.589024714268639
"16691",4012,14.8270407511984,308.433177809946,-29.8926935622695,697,0.0370075503111748
"16692",4012,12.2694248050801,332.849076987274,-32.7540666870023,26,0.213949839079472
"16693",4012,13.1402702967986,225.687860388475,-38.3006531408609,951,0.11644254769839
"16694",4012,26.2917454607831,98.504075710671,-50.1487678822652,495,0.0405368560693552
"16695",4013,20.5432706803416,1150.80732239317,-37.2289580930101,524,0.59189645328373
"16696",4013,18.0965312981734,384.25836551694,-30.4236795170233,693,0.0405848022187816
"16697",4013,10.5155313188577,239.389577417243,-33.0510729286843,26,0.215195818985708
"16698",4013,10.6793758215752,182.053212839097,-38.2831061962351,951,0.114913016338353
"16699",4013,34.0356039301598,97.3393371126597,-59.2951474707806,495,0.0364530370020195
"16700",4014,27.1465371626865,1680.80038915598,-37.3580310774214,524,0.57762039916781
"16701",4014,11.7143828078397,323.913480867749,-29.5303091590322,697,0.0380535332783031
"16702",4014,11.4595069095532,268.168298901904,-33.4292591047093,24,0.232842435105178
"16703",4014,12.9504750546961,198.887775593137,-38.0511990408058,1006,0.111909349836355
"16704",4014,43.014732863559,151.608854635556,-56.3872812327522,495,0.0385882508922298
"16705",4015,30.2785507191276,2076.37928634586,-37.2336869805786,524,0.552043004992629
"16706",4015,16.9798416862129,464.5919790773,-29.6570515129968,697,0.032944838588837
"16707",4015,12.4115561411653,278.61254182074,-33.5661172689946,24,0.249795132823723
"16708",4015,16.4512173604379,263.243422409698,-38.3717907282669,951,0.118141878926772
"16709",4015,16.151439260507,55.0719595811157,-68.9341541897777,17,0.042349827909635
"16710",4015,8.94640552283068,240.191065002807,-35.1351837270612,21,0.00445492598934552
"16711",4016,25.5039045153703,1525.14208670994,-36.859835068193,548,0.531988602336055
"16712",4016,15.0708810291957,354.780976014726,-29.5549924161063,697,0.0303047037579614
"16713",4016,13.3583595256631,327.987374468473,-33.6429740864969,24,0.23987140374627
"16714",4016,17.3223202111258,320.104484620918,-38.0293009865321,1006,0.144649679161228
"16715",4016,13.058012692931,65.5489945763177,-50.0040757278192,495,0.0455776572158635
"16716",4016,7.16849481286909,87.8605813196717,-34.9458676917285,21,0.00262717380855628
"16717",4017,24.9637458071437,1563.22054090145,-36.8804696735817,548,0.530924717937265
"16718",4017,21.5106567726822,529.009246793293,-29.6563161232385,697,0.0488545889968485
"16719",4017,11.6132688091507,243.923388215589,-33.0143902105444,26,0.229640653989823
"16720",4017,11.3381163182949,223.123804480772,-37.9684031307368,1006,0.144533915050322
"16721",4017,22.5923674545199,105.208553097505,-50.091847527136,495,0.0443360880083702
"16722",4018,24.8056856434937,1452.43600239365,-36.7988518284677,548,0.551242852187507
"16723",4018,14.231235347039,396.164096936012,-29.4903579560482,697,0.0390779006219456
"16724",4018,12.4203961212811,285.373287499131,-34.0770758942483,23,0.221495522290459
"16725",4018,10.3964844728616,211.323577325731,-38.3273498115488,951,0.148644078246492
"16726",4018,33.9301731475387,99.4446810433314,-60.0021330493718,495,0.0367146291546917
