Bayesian non parametric moving average phylodynamic model
Effective population size bins: 360 
Iterations: 360 
Effective population size at last iteration:
           Time       Ne
196 -19.2304710 465.9595
197 -19.1139227 467.4982
198 -18.9973744 454.9893
199 -18.8808261 454.8325
200 -18.7642778 468.4719
201 -18.6477295 454.9869
202 -18.5311812 451.8206
203 -18.4146329 446.7859
204 -18.2980846 446.7859
205 -18.1815362 466.6820
206 -18.0649879 473.4718
207 -17.9484396 468.6032
208 -17.8318913 468.7557
209 -17.7153430 469.6770
210 -17.5987947 477.0211
211 -17.4822464 489.1596
212 -17.3656981 488.7490
213 -17.2491498 480.7300
214 -17.1326015 480.7300
215 -17.0160531 483.9673
216 -16.8995048 482.3634
217 -16.7829565 486.2090
218 -16.6664082 477.1277
219 -16.5498599 476.2394
220 -16.4333116 476.2394
221 -16.3167633 482.4448
222 -16.2002150 482.4448
223 -16.0836667 510.0171
224 -15.9671184 494.7075
225 -15.8505701 491.6037
226 -15.7340217 474.3426
227 -15.6174734 474.3426
228 -15.5009251 483.2505
229 -15.3843768 483.2505
230 -15.2678285 483.2505
231 -15.1512802 483.2505
232 -15.0347319 479.2543
233 -14.9181836 479.2543
234 -14.8016353 461.4663
235 -14.6850870 461.4663
236 -14.5685387 477.2691
237 -14.4519903 485.7814
238 -14.3354420 482.6693
239 -14.2188937 461.2961
240 -14.1023454 498.1167
241 -13.9857971 494.7970
242 -13.8692488 493.7125
243 -13.7527005 493.7125
244 -13.6361522 493.7125
245 -13.5196039 481.6795
246 -13.4030556 493.5802
247 -13.2865073 493.5802
248 -13.1699589 487.4651
249 -13.0534106 499.8480
250 -12.9368623 499.8480
251 -12.8203140 494.6296
252 -12.7037657 494.6296
253 -12.5872174 481.7921
254 -12.4706691 497.2688
255 -12.3541208 497.2688
256 -12.2375725 497.2688
257 -12.1210242 497.5756
258 -12.0044759 500.7040
259 -11.8879275 524.1162
260 -11.7713792 524.1162
261 -11.6548309 510.6327
262 -11.5382826 514.0661
263 -11.4217343 514.0661
264 -11.3051860 514.3856
265 -11.1886377 514.3856
266 -11.0720894 518.0921
267 -10.9555411 518.0921
268 -10.8389928 514.7803
269 -10.7224444 508.7110
270 -10.6058961 496.5256
271 -10.4893478 494.6721
272 -10.3727995 510.5527
273 -10.2562512 514.5883
274 -10.1397029 497.2819
275 -10.0231546 497.2819
276  -9.9066063 497.2819
277  -9.7900580 512.6401
278  -9.6735097 510.5793
279  -9.5569614 510.5793
280  -9.4404130 499.7239
281  -9.3238647 507.7935
282  -9.2073164 506.0787
283  -9.0907681 506.5703
284  -8.9742198 503.5931
285  -8.8576715 512.5999
286  -8.7411232 495.3416
