"","nelb","ne","neub"
"1",30.9491413655881,96.1573931387062,298.756083279018
"2",30.2909541206878,92.292159023487,281.200868856065
"3",29.6456467835824,88.5928487278332,264.750265123556
"4",29.0119716564408,85.0488057208784,249.321191961867
"5",28.3964553314395,81.673211441509,234.906553980493
"6",27.7966700146932,78.4517769106869,221.417935932284
"7",27.2154221183859,75.3861355419572,208.8179785428
"8",26.6416464366782,72.4384374283136,196.959569654508
"9",26.0825405042751,69.6240578202912,185.852655977615
"10",25.5301199488201,66.9157994686809,175.389862151418
"11",24.990177962483,64.3250835772622,165.573705934931
"12",24.4643213411039,61.851400733339,156.374489990388
"13",23.9486855264227,59.4800548942877,147.727395155952
"14",23.4429027178607,57.2061088762415,139.596146950997
"15",22.9445035347756,55.0196396993197,131.934027164932
"16",22.460289781334,52.9339432364814,124.753615106591
"17",21.9976150968033,50.9626214143169,118.06683451773
"18",21.5491653127953,49.0836610927935,111.800422489761
"19",21.1156903964435,47.2951240193211,105.932068239631
"20",20.6993224956341,45.5982616964775,100.4478030708
"21",20.3019796567585,43.9936776949202,95.332756206374
"22",19.9202415137963,42.4700921817906,90.5465292014948
"23",19.5587334207359,41.0343217517801,86.090214811326
"24",19.2063166748813,39.6590617851296,81.891869654203
"25",18.8711743448523,38.3592279013086,77.9723793705454
"26",18.5473816574465,37.1196083104997,74.288939893126
"27",18.240921135061,35.9500942151923,70.8521935110533
"28",17.9466504652522,34.8376553856381,67.6261141385872
"29",17.6686146018988,33.7881205432552,64.6138429960917
"30",17.4091210671701,32.8035571351276,61.8108953671892
"31",17.1677839225139,31.8807234009624,59.2027794126524
"32",16.941391942643,31.0112127512117,56.7660154228676
"33",16.7325125646341,30.1978092449803,54.4991482703937
"34",16.5438623735012,29.4433871333818,52.4008859790053
"35",16.3758861330987,28.7465384513745,50.4622141495062
"36",16.2268537287081,28.1020466907155,48.6677849822479
"37",16.0964011113169,27.5073662349623,47.0077250157716
"38",15.9852611929039,26.9619787677747,45.4761602141752
"39",15.8935734142181,26.4643729923497,44.0658006620258
"40",15.8247325813708,26.0186034477502,42.7790941736494
"41",15.7765007042937,25.6191381006066,41.6023964578737
"42",15.748097089596,25.2631220133203,40.5271398968928
"43",15.7401963290926,24.9502089948385,39.5492480443543
"44",15.7548679978991,24.6823140684498,38.6684691902739
"45",15.7967163041917,24.4652869186488,37.8908029039544
"46",15.8661329261404,24.2981190707231,37.2112469448886
"47",15.9653071715367,24.1826515687232,36.6294635368411
"48",16.0917170006952,24.1134529697127,36.1340318188187
"49",16.2474923902835,24.0924024964014,35.7251349380985
"50",16.4365914219898,24.1240649891895,35.4070072475032
"51",16.6622399895096,24.2117597331496,35.1819028981
"52",16.9206396330168,24.34840193084,35.0367769448224
"53",17.2133325765228,24.5349919734439,34.9709057476746
"54",17.5462883220015,24.7788996117274,34.9928061536621
"55",17.9134233944263,25.070084410428,35.0859307295526
"56",18.3173609720724,25.4112203531261,35.2523554468159
"57",18.7574810204754,25.800392423198,35.487720790675
"58",19.2420192390378,26.2480813171149,35.805066208027
"59",19.7725258192067,26.7552650765965,36.2039840465695
"60",20.3505160139937,27.3229009215253,36.6841270390461
"61",20.9805514070314,27.9560976706935,37.2508511245052
"62",21.6654591139977,28.6575411428063,37.9061740639983
"63",22.4159767454149,29.440441914063,38.6661544994958
"64",23.2302239637345,30.3010120804371,39.5239983278744
"65",24.1165366418221,31.2490706986346,40.4910719159748
"66",25.0708768162154,32.2781176677764,41.5572573632907
"67",26.1032602740009,33.4001214575652,42.7367348626266
"68",27.209588552962,34.6086645657788,44.0197638672565
"69",28.4069739973933,35.9247130688065,45.4319776965509
"70",29.6952307231737,37.3468237491975,46.9700086574896
"71",31.0800806358464,38.8811608362781,48.6403071372006
"72",32.5520536179755,40.51475540393,50.4252488861059
"73",34.1274377645996,42.2672292052,52.3484557208119
"74",35.7994741502726,44.1292151409926,54.3971014989109
"75",37.5915202781876,46.1289183143791,56.6052420627787
"76",39.5111733730899,48.2746720391173,58.9818970567841
"77",41.5764034613688,50.5874817379705,61.551579635004
"78",43.7709918956099,53.0463390921694,64.2871904249365
"79",46.1110789372721,55.6700650344556,67.2106620006983
"80",48.6106707948634,58.4746736460255,70.3402648451108
"81",51.2722812818049,61.4621573899873,73.6771740322803
"82",54.1037139449297,64.640939784221,77.2303931009317
"83",57.0995594851147,68.0035865755571,80.9899030542407
"84",60.2527576086118,71.5408912179979,84.9438153438788
"85",63.5903366096195,75.2844214853095,89.1290158310051
"86",67.0891131170888,79.2058173310787,93.5108724441642
"87",70.7593827927673,83.3167601397179,98.1026437230149
"88",74.6038334746679,87.61986077316,102.906776292063
"89",78.6366139417292,92.1312257913904,107.941610661339
"90",82.8437599781217,96.8338169209069,113.186413822212
"91",87.2470111832791,101.752610348806,118.669895648875
"92",91.8250203372845,106.862008131646,124.361407598743
"93",96.6063576706024,112.194867746488,130.298757267839
"94",101.605024179737,117.766787109303,136.499314458248
"95",106.775255560155,123.523862886457,142.899631776542
"96",112.153575804066,129.507999793382,149.547813257279
"97",117.664495911801,135.631226581966,156.341379628379
"98",123.399612233287,141.999123794904,163.402062564028
"99",129.290547961147,148.532088295649,170.637232198104
"100",135.399306175983,155.301074977873,178.128120227849
"101",141.646766175287,162.21443598683,185.768612676709
"102",148.083208206607,169.329529476349,193.624178594764
"103",154.631498220839,176.557434317219,201.592353248493
"104",161.385909935616,184.005725509252,209.795929729515
"105",168.33465632498,191.660153977142,218.217777755909
"106",175.394544727212,199.425196154021,226.748265876363
"107",182.636855398225,207.381716522997,235.479176720662
"108",189.977264974574,215.433188873659,244.300068613396
"109",197.470883067871,223.641920330026,253.281434467031
"110",205.074391274162,231.95823249434,262.366360263713
"111",212.77800192183,240.370701725245,271.541577259068
"112",220.589309370133,248.887613497354,280.816166156398
"113",228.478647845322,257.475139852959,290.151610522402
"114",236.430931722721,266.116117029977,299.528438293198
"115",244.41457001097,274.774920745779,308.90653150285
"116",252.44978994338,283.47445378129,318.311874866776
"117",260.557048007316,292.237755877377,327.77046951287
"118",268.623310958331,300.937965156967,337.139984425492
"119",276.763787228618,309.704831702444,346.566592906925
"120",284.952280627621,318.509034275386,356.017522272834
"121",293.165995009809,327.325252628236,365.46469519616
"122",301.433229193544,336.185423454374,374.944193264866
"123",309.731779806348,345.065003169244,384.428929077396
"124",318.082397090296,353.987519526542,393.945610089772
"125",326.41927446969,362.880066955725,403.413503101879
"126",334.769536101138,371.773558786853,412.867851187287
"127",343.265232235801,380.815319708585,422.473044474052
"128",351.826173314134,389.916331789971,432.130288558151
"129",360.499059299913,399.128780632942,441.897917400689
"130",369.21690516326,408.378729502854,451.694341126177
"131",377.970176298641,417.656276454611,461.509336451204
"132",386.871372472695,427.086514417333,471.482006102741
"133",395.929983717177,436.680197315576,481.624536079048
"134",405.167636903174,446.461501019633,491.963952047677
"135",414.608539935212,456.457412895417,502.53033818294
"136",424.175685601584,466.583420955629,513.230946752421
"137",433.851300007569,476.820695469541,524.045855398129
"138",443.76936249506,487.31735337824,535.138797253531
"139",453.838307834267,497.973154956098,546.400025683786
"140",464.201905265832,508.946645059426,558.004360987943
"141",474.555020460127,519.903522086915,569.585528810333
"142",484.936722256155,530.88818716372,581.19390496706
"143",495.22268822415,541.765995960311,592.683657995124
"144",505.47825252855,552.610365019663,604.137198780706
"145",515.784490636527,563.511595468508,615.655034209311
"146",525.99510504962,574.311252932415,627.065560265406
"147",535.97351201465,584.862242606834,638.210350249072
"148",545.923203749496,595.389100741435,649.337084130163
"149",555.895635545622,605.949742022903,660.510834011555
"150",565.985851601054,616.649415934812,671.848070224865
"151",576.153248874375,627.445240216437,683.303496490571
"152",586.327941855775,638.262532623356,694.797282321892
"153",596.551188090466,649.1476488355,706.381411019424
"154",606.814755912208,660.092781009465,718.048589450994
"155",617.362051508847,671.363565049201,730.088665757767
"156",628.027633110227,682.780365542757,742.306553076271
"157",638.623017621447,694.138896237469,754.480803188623
"158",649.326273370824,705.633389136666,766.823244775961
"159",659.958371919169,717.069581181218,779.123057050006
"160",670.705949521973,728.650549995845,791.60118437544
"161",681.196593347576,739.971781016573,803.818225235091
"162",691.750644045388,751.381384507121,816.152452973782
"163",702.420328620783,762.935515156543,828.664229336995
"164",713.142638039375,774.565033988825,841.27769099256
"165",723.858126576432,786.204778319074,853.921411886612
"166",734.384928566656,797.656859134423,866.380068782204
"167",744.958638130407,809.176737648367,878.930667069647
"168",755.560730886849,820.743627917937,891.54991151701
"169",765.837124059794,831.972445477587,903.819008361251
"170",775.619028762414,842.679533641289,915.538131588852
"171",784.913111332454,852.871664253728,926.714135851444
"172",793.513333980821,862.324563260239,937.102907485528
"173",801.874365000355,871.531590242956,947.239799580173
"174",809.830440033296,880.312067628172,956.92789268322
"175",817.034038518374,888.288459755746,965.75705605378
"176",823.599331512258,895.585443616216,973.863450501497
"177",829.731751369673,902.42706257065,981.491430110477
"178",835.644698600781,909.046144833746,988.895034960165
"179",841.237308730839,915.334150705661,995.957500639247
"180",846.595384612914,921.385968765159,1002.78376053925
"181",851.780799487836,927.270859464746,1009.45131344765
"182",857.093240676809,933.317047282918,1016.31965976193
"183",862.65414706582,939.659079775704,1023.53786764738
"184",868.340451569995,946.16573860259,1030.96614154825
"185",873.965265501515,952.636630257767,1038.38972225985
"186",879.527775175843,959.074121393775,1045.81480686422
"187",885.16986456348,965.635948463459,1053.41677602723
"188",890.708937627584,972.126249637955,1060.98569949489
"189",896.146663552217,978.549978007669,1068.53051894782
"190",901.362311533853,984.778630616621,1075.91468925393
"191",906.342004778401,990.800225074029,1083.12875363949
"192",911.267176787093,996.815878091909,1090.39579184612
"193",916.07410051453,1002.75891358074,1097.64640022118
"194",920.539324993732,1008.38777315586,1104.61973045763
"195",924.670463327378,1013.71292726013,1111.32986252907
"196",928.290502596948,1018.54229550398,1117.56869732938
"197",931.281736932533,1022.7479524322,1123.19755958024
"198",933.52002876406,1026.19416126566,1128.06841221173
"199",935.007030472821,1028.88244488052,1132.18302203353
"200",935.759145709334,1030.83006208345,1135.55995874289
"201",935.729520208644,1031.98427087668,1138.14036250498
"202",934.920185686403,1032.34548957599,1139.92320003812
"203",933.244578877091,1031.81597317974,1140.79870015411
"204",930.872396851318,1030.57980234004,1140.96704616421
"205",927.98451277166,1028.83350063138,1140.64228169062
"206",924.474645905837,1026.45634221914,1139.68795915385
"207",920.490678920971,1023.60846449371,1138.27799952456
"208",916.246824668214,1020.52419911192,1136.66930452955
"209",911.678988198535,1017.12975359031,1134.77764545496
"210",906.590639430354,1013.20360628077,1132.35401197767
"211",901.308148934696,1009.1058802951,1129.79637302706
"212",895.593838520953,1004.56857241032,1126.80321510597
"213",889.677661630389,999.845072625352,1123.65434400275
"214",883.105563314662,994.423333489481,1119.77300027039
"215",876.233069322852,988.696992307017,1115.59558389227
"216",868.623870858951,982.171031725741,1110.56116222927
"217",860.390445145878,974.965598028086,1104.7983188343
"218",851.385580767364,966.907844918779,1098.10502043367
"219",841.459624786543,957.820423896802,1090.27211456114
"220",830.457631800042,947.518105938087,1081.0793070015
"221",818.618562079056,936.261670022634,1070.81118772496
"222",806.100221123869,924.220974988732,1059.65038617433
"223",792.608547694245,911.050612362776,1047.19185870649
"224",778.131827293309,896.725576226224,1033.39399681842
"225",762.826292340638,881.413412792634,1018.43579862326
"226",746.445116004007,864.818997733802,1001.96502436126
"227",729.234959838772,847.214273830457,984.280876962841
"228",711.34347888537,828.75912485934,965.555610510207
"229",692.871562231426,809.560770898171,945.902065408098
"230",673.875715316641,789.675930089681,925.375496385102
"231",654.503187105547,769.267995873672,904.15640616287
"232",634.896226000067,748.496426651535,882.422792524298
"233",615.214018223065,727.542543468573,860.380512923877
"234",595.448072783342,706.392420783094,838.008005983356
"235",575.819067883798,685.303099904136,815.604006418546
"236",556.526925471384,664.510214855084,793.445573675942
"237",537.723289556335,644.195023076534,771.748659238795
"238",519.511869359709,624.484072347265,750.666884851099
"239",501.745259037461,605.205151775889,729.998478587976
"240",484.509445817737,586.464607008905,709.874158786769
"241",467.826753467783,568.293617745718,690.335970691244
"242",451.646225204917,550.635321532091,671.320251112879
"243",435.971882124549,533.498993929018,652.842965780907
"244",420.682459959996,516.741479509656,634.734703869565
"245",405.825750365786,500.424426282199,617.074215212197
"246",391.458392027342,484.621178713652,599.955682752116
"247",377.525822879962,469.269081372395,583.307041230159
"248",364.183403971102,454.564256032992,567.375285665744
"249",351.417345004192,440.495654755462,552.153798373637
"250",339.188507566107,427.020502336256,537.596367058425
"251",327.482956925174,414.126974715885,523.694890255058
"252",316.196876741053,401.690020359441,510.298754748639
"253",305.41249681772,389.817634268626,497.549345786861
"254",295.2136751718,378.621765440619,485.595530701435
"255",285.553201935459,368.049281111937,474.378407977476
"256",276.490317632505,358.182685114061,464.01203851934
"257",267.939218922919,348.919389674775,454.374469629402
"258",260.022696744044,340.425119472384,445.689024146472
"259",252.68048285513,332.630911819733,437.878391903591
"260",245.818214413444,325.422104275402,430.8043088008
"261",239.496705633911,318.886067061078,424.59174332494
"262",233.75056462697,313.077662920613,419.325716608446
"263",228.612877744442,308.051292870405,415.092972781734
"264",224.052576728056,303.777121082968,411.870020158088
"265",220.090996398828,300.295620277009,409.728071720585
"266",216.717996525887,297.606020468439,408.684764712104
"267",213.862517728289,295.624922673916,408.646151903029
"268",211.448922779665,294.260990121301,409.505658240674
"269",209.445637228501,293.481795158105,411.23589504639
"270",207.864015385986,293.314099448043,413.891556820262
"271",206.637621026541,293.676743700475,417.378158740208
"272",205.778246762739,294.596980424461,421.751969610644
"273",205.234403751465,296.013199070898,426.945056104229
"274",204.950066023446,297.855787024255,432.876512729151
"275",204.945005296676,300.162586446337,439.618316980842
"276",205.255887633781,302.997302302272,447.282493383371
"277",205.816110166341,306.274604448982,455.766719400963
"278",206.631454317502,310.013533658959,465.119850069091
"279",207.687729306898,314.204190830202,475.349573442436
"280",209.017688001221,318.906918662049,486.569456121478
"281",210.527372934692,323.992565575855,498.610613361844
"282",212.287476388094,329.578916201407,511.675318076302
"283",214.308967280331,335.695996080604,525.838014221494
"284",216.543083604896,342.282298507943,541.034005434435
"285",218.970605072052,349.320510497863,557.265752699252
"286",221.554921680378,356.765280241408,574.491707159412
"287",224.322070930352,364.669548218456,592.825658421914
"288",227.270020468518,373.043053949427,612.316221088175
"289",230.416912720288,381.928710809363,633.067852608452
"290",233.765509544058,391.345845143746,655.150414661183
"291",237.306275956731,401.29416421839,678.604076468246
"292",240.984691520801,411.69806423844,703.344660725259
"293",244.852175154234,422.657993447672,729.582162432032
"294",248.870933176883,434.126077765777,757.281893029859
"295",253.046800071688,446.127728007584,786.534149575586
"296",257.234520093087,458.425844981059,816.975323803931
"297",261.430956296866,471.023678060762,848.649710181807
"298",265.600363217111,483.866364676126,881.49976916073
"299",269.738388507662,496.953034978711,915.562372641434
"300",273.821221545203,510.247156994635,950.810750722357
"301",277.79696004901,523.658618916069,987.1178904071
"302",281.65281688042,537.16587685655,1024.47822981147
"303",285.362965069931,550.721597445612,1062.83686048301
"304",288.971639790201,564.40962304896,1102.3857663733
"305",292.436910733757,578.151288146974,1143.0120471021
"306",295.671141923174,591.774674689984,1184.41476339761
"307",298.700165847819,605.323592719431,1226.70387832808
"308",301.541851875271,618.827873296722,1269.96612373179
"309",304.202988997821,632.296196738513,1314.24902078412
"310",306.705776310186,645.769131652401,1359.66715857789
"311",309.0775975952,659.299939258525,1406.36659948286
"312",311.270451247736,672.785762756192,1454.17170423022
"313",313.388750779817,686.443323318821,1503.57801598325
"314",315.41484568761,700.236855413392,1554.56111334996
"315",317.34981485198,714.169541819071,1607.17955578438
"316",319.238970620788,728.342787911637,1661.71196352164
"317",321.047192585142,742.682372818724,1718.05616007488
"318",322.800463542134,757.249219582448,1776.41126740012
"319",324.606948058579,772.297611504563,1837.43325367151
"320",326.364967758451,787.603643305658,1900.6926607621
"321",328.183811847126,803.432410254235,1966.89664311541
"322",330.07262098656,819.822266317702,2036.24446747936
"323",332.089147937813,836.932474731772,2109.24076143499
"324",334.196368064117,854.695767008869,2185.85515568119
"325",336.299050307509,872.89376901301,2265.67256519167
"326",338.445183992177,891.661109548482,2349.15304423303
"327",340.604390576943,910.9366708723,2436.27399204784
"328",342.808801925005,930.819975462059,2527.43168160756
"329",345.102944975243,951.449338561494,2623.14725802773
"330",347.506047588072,972.902341225734,2723.80573556097
"331",350.006204042212,995.174912154756,2829.58728829499
"332",352.655437411952,1018.44110758951,2941.17764705415
"333",355.435867314989,1042.6863730156,3058.76523009693
"334",358.32576789332,1067.8833359231,3182.50854758999
"335",361.362670804336,1094.17596304914,3313.07336048211
"336",364.632020554555,1121.8593849939,3451.6126087467
"337",368.173256272654,1151.10732316641,3598.97968380966
"338",371.877072362775,1181.64569541146,3754.69920910403
"339",375.787739901019,1213.6615649026,3919.69784461254
"340",379.964354798778,1247.40012090979,4095.13956241974
"341",384.294669368807,1282.56772065189,4280.51724152201
"342",388.803181217718,1319.29878560985,4476.68478498629
"343",393.513900862681,1357.73366326888,4684.56310268137
"344",398.380373730756,1397.78137806558,4904.33994669471
"345",403.353669309962,1439.33461405466,5136.14797346463
"346",408.473743332343,1482.58914978586,5381.17963012951
"347",413.758643179964,1527.67436056969,5640.45969893355
"348",419.20924466191,1574.66438380473,5914.86937179284
"349",424.860688254869,1623.76310191596,6205.81447997392
"350",430.72370617193,1675.09480048879,6514.48376399449
