"","it","dim","N","pr","lh","prior"
"401",401,4,162.834700395741,0.00528952241338271,-5709.42925384331,-797.068822775855
"402",402,4,110.582853892276,0.00426561236916491,-5709.70246341173,-791.500343765785
"403",403,4,240.503485580263,0.0026159077444919,-5718.02409380899,-790.458625040677
"404",404,4,205.485231358953,0.00183085130646193,-5704.4375344395,-802.810228797123
"405",405,4,258.372941736544,0.00327101443038419,-5718.56838499033,-800.589798494316
"406",406,4,205.338320552647,0.00256165099313855,-5717.52143863391,-790.709476980319
"407",407,4,158.762619526741,0.00158348188613905,-5714.22825737186,-791.976264056541
"408",408,4,119.737028910794,0.00345570106013083,-5716.90056539195,-789.407336441679
"409",409,3,99.7159904877697,0.0464208248203715,-5733.48408362996,-765.81259230245
"410",410,4,121.704379751272,0.00604887993053364,-5714.0928123526,-790.308384434269
"411",411,5,179.163943809279,0.00606979933513551,-5688.24350883712,-834.765835943464
"412",412,4,185.750516256505,0.0042291041596509,-5723.83765921969,-784.035006385489
"413",413,4,169.180691781668,0.00378976266278169,-5707.40648782554,-798.738346730304
"414",414,4,166.90735289714,0.00138725272847696,-5713.241742299,-795.724374112576
"415",415,4,244.004162964532,0.00284376374008081,-5716.47594102741,-789.44866571047
"416",416,4,153.541248388418,0.00508495477197951,-5705.82221571962,-796.468007338603
"417",417,4,127.415660470752,0.000585981555645986,-5719.82768550783,-788.912646397208
"418",418,4,198.046870825123,0.00680028385440627,-5716.20042038374,-791.71907779338
"419",419,4,139.095634607616,0.00463662269280745,-5719.64913081541,-785.381485226217
"420",420,4,118.260461067725,0.00629206951881249,-5711.37106249358,-792.04956889691
"421",421,4,240.802773069635,0.00199969129664632,-5718.57382846552,-788.704007415413
"422",422,4,163.740892227493,0.00430854475534247,-5712.25114595767,-791.131675540383
"423",423,3,87.6761948178555,0.0475791037881868,-5724.67948672334,-777.576560831682
"424",424,5,144.496479988761,0.00597062755322242,-5706.90438911978,-813.173971498829
"425",425,4,208.575829010137,0.00160394588159166,-5715.02981122736,-797.818757319549
"426",426,4,156.333958116856,0.00487927639431847,-5723.87016359494,-785.461049902378
"427",427,4,160.100088631047,0.00474423048399473,-5716.58661794588,-791.564517801926
"428",428,4,138.687745353052,0.00512449976492317,-5719.22983666298,-794.820100513224
"429",429,4,218.724508897089,0.00402639208932875,-5712.19071401134,-797.962754081908
"430",430,5,220.559343160597,0.00135224881137273,-5615.52303672697,-900.817925669264
"431",431,4,276.314328874757,0.00187977181636693,-5711.90068676467,-802.202223187945
"432",432,4,191.991195643753,0.00283562349469414,-5716.85720692624,-787.758143091513
"433",433,4,170.061126253745,0.00148277525996558,-5719.94946745594,-790.242221223573
"434",434,4,291.331711179398,0.00904569076020398,-5719.42097568721,-797.576710566029
"435",435,4,159.66416547889,0.00201054980943314,-5710.51329762062,-799.193569237132
"436",436,4,181.60865412918,0.00408060931294185,-5707.66539931515,-796.775289910108
"437",437,4,159.898347183458,0.00405131233419046,-5716.05081507704,-793.716643366056
"438",438,4,177.630078481777,0.00196438774599473,-5713.34038573352,-790.345902034422
"439",439,4,216.115310031518,0.00435739743394849,-5718.72789411635,-786.874376246687
"440",440,4,96.4754401307958,0.00690793970501095,-5713.62091802317,-797.624741740677
"441",441,4,166.339197121895,0.00581578898771897,-5714.67534444718,-793.07748548054
"442",442,4,192.289889996276,0.00449515322783482,-5719.04843662254,-787.487363834859
"443",443,4,146.623338259965,0.00472192829170034,-5714.88572737125,-791.271507587387
"444",444,5,188.806781484552,0.00487705230315435,-5615.42417465441,-898.882796801566
"445",445,5,227.672406532994,0.00126746204005918,-5607.78540167201,-909.524427383805
"446",446,5,161.626637985923,0.00715532607462517,-5606.93986527739,-898.243359048054
"447",447,5,169.560433607488,0.00319640125207886,-5621.14308987402,-897.816661637119
"448",448,5,168.528887955661,0.00323786935775898,-5615.64746740195,-895.65142086876
"449",449,5,176.282811032364,0.00338343084750873,-5603.9463251108,-904.734613181449
"450",450,5,204.810049596273,0.00472867428241008,-5609.89059761432,-904.435162209172
"451",451,5,150.060261830337,0.00944825069125044,-5609.75456731429,-899.106020712441
"452",452,5,254.031331480364,0.00559797075515684,-5610.39715230804,-903.14850279978
"453",453,5,265.443205979977,0.00237070409912089,-5620.19051697221,-902.934673002832
"454",454,5,226.92283549127,0.00162920546616728,-5617.3079168701,-904.123956486115
"455",455,5,238.080977971856,0.00188172837334172,-5610.29627128597,-903.872613450541
"456",456,5,169.496864204085,0.00458266219408476,-5613.33627147089,-897.048708978921
"457",457,5,70.7355995293609,0.0406682800499823,-5524.8591409351,-986.443024631377
"458",458,6,91.3203430385296,0.0041902517123504,-5509.70827221128,-1015.41110376895
"459",459,5,228.229384051184,0.00524180578687621,-5607.9458170599,-900.381153079727
"460",460,5,165.199257527743,0.00267665116441677,-5611.84066887322,-896.002184102376
"461",461,5,183.717477823019,0.000802360127549608,-5612.97288138585,-904.142312045552
"462",462,4,102.468556804076,0.0430964050583792,-5625.80734917473,-886.233829251932
"463",463,5,169.823291650231,0.0057244060555909,-5610.66860123019,-899.290203362108
"464",464,5,171.628519998771,0.00652774867431184,-5601.16986412566,-908.853232822304
"465",465,5,185.07834221521,0.00547144438343868,-5614.81712258121,-892.579238550546
"466",466,5,203.648209600401,0.00581128544928557,-5610.69319267802,-896.274596317036
"467",467,5,214.392906281363,0.00225602300422549,-5608.17980736289,-903.486681544187
"468",468,5,280.297697530153,0.00263640041417134,-5614.88597674181,-897.159457935277
"469",469,5,134.826808238951,0.00105404698208405,-5602.31544801089,-907.313023889607
"470",470,4,91.0280585854704,0.0369705613264708,-5629.12118434008,-871.268084957457
"471",471,4,102.873005924365,0.0443007345170407,-5632.91736655248,-869.976788667923
"472",472,5,177.9379727167,0.008047074182441,-5607.29441755612,-903.161663541541
"473",473,5,135.799259548067,0.00327359197157111,-5610.33224476372,-900.26038560261
"474",474,4,207.901131330283,0.00481562990299484,-5726.14254329296,-786.056638951187
"475",475,4,178.26403794259,0.00548646039549517,-5711.23393549994,-792.302868918914
"476",476,4,204.551541233093,0.00172242192173556,-5714.53702767459,-794.457395730651
"477",477,4,184.886730889057,0.00290849055948496,-5715.26724418328,-788.666546169144
"478",478,4,156.134609971708,0.00459492502890675,-5714.77204623742,-790.111098270375
"479",479,4,136.547761089937,0.00720338636079889,-5707.50861088974,-800.143863762467
"480",480,3,105.542761423171,0.0285971670047418,-5736.66677428469,-765.36770642919
"481",481,5,178.18852870429,0.00466392248099327,-5665.14545919744,-851.110248474129
"482",482,4,162.847241331488,0.00513549720171398,-5713.10190826203,-790.056187803051
"483",483,4,194.993864149254,0.00304780342006482,-5711.97838601927,-791.154336313616
"484",484,4,179.941698690083,0.00375207211072559,-5707.94585144295,-796.423233794624
"485",485,4,165.245545157411,0.00298512218039789,-5714.42910130552,-796.445962021645
"486",486,5,127.365152818387,0.00619941847042822,-5612.79213620396,-894.126071131154
"487",487,5,191.046462312003,0.00312132178919458,-5612.39822205865,-894.758760466526
"488",488,5,157.10404509277,0.00650657401297192,-5607.93396705309,-899.33858594171
"489",489,5,143.700860850299,0.00276996172532387,-5610.97617624969,-895.011222672483
"490",490,4,118.547906395623,0.036528693628576,-5632.76174380198,-871.08057555479
"491",491,5,100.073276996727,0.00429405787882822,-5628.2640140469,-888.389119300528
"492",492,5,146.141359742552,0.00581291376807706,-5609.74093890485,-898.356114550585
"493",493,6,166.837842058876,0.00324290275407944,-5600.7808078379,-919.320893495583
"494",494,5,184.333487160046,0.00781776509076846,-5611.16929803351,-900.111859027359
"495",495,5,124.418864254681,0.00376388732331253,-5611.41595879294,-898.470706646426
"496",496,5,221.017463567935,0.00133768536741775,-5617.45199795226,-900.697174211108
"497",497,4,174.390444025077,0.00499088396466233,-5713.97581050342,-791.116411296424
"498",498,4,201.939202516116,0.00380222573880499,-5718.39183839231,-789.05163603681
"499",499,4,199.605601963728,0.000854537016919684,-5724.91957343581,-788.660937824634
"500",500,4,138.781701246415,0.0033105177101017,-5722.38401240834,-787.340866111457
"501",501,4,141.347888017077,0.00226669496819767,-5723.39703409685,-786.897502707999
"502",502,4,225.961768206071,0.00272515661135683,-5719.24313721976,-790.327081831636
"503",503,4,208.361143156898,0.00202276756432384,-5715.59083794629,-797.402025738672
"504",504,4,176.301896229487,0.00262878788913117,-5714.09289469461,-790.058773195206
"505",505,4,191.261996099265,0.00784823766042136,-5722.32678771417,-798.088271428263
"506",506,4,195.986066918437,0.00654863383286347,-5712.72270100442,-796.398440049021
"507",507,4,164.931921856477,0.00211730804096342,-5712.62467010952,-790.20238811463
"508",508,3,78.9990779346047,0.0401518545677046,-5734.54220911456,-769.225920212352
"509",509,4,182.708276195629,0.00594845686662411,-5717.16917912528,-793.644821117363
"510",510,4,167.862263907623,0.00318409010325627,-5722.34009948612,-788.643026496667
"511",511,4,202.864168224797,0.00492615770315834,-5712.23471156076,-792.263293040783
"512",512,4,112.87079569796,0.0247326734271114,-5451.66792987985,-1054.65672184866
"513",513,4,106.555118536013,0.0271696868401336,-5441.42406545063,-1061.464666969
"514",514,5,166.293299440841,0.0115975977668383,-5423.67808022038,-1087.99955428008
"515",515,6,186.590101990559,0.000830475702533234,-5317.31034998167,-1197.54432985022
"516",516,6,160.616374797038,0.00398939128177413,-5336.32481145466,-1183.87189753254
"517",517,5,96.7169153888557,0.0377317642178674,-5344.28385057187,-1165.42495738509
"518",518,6,142.686730424773,0.00333062423553625,-5316.55717104225,-1196.68926247301
"519",519,6,191.332288221577,0.00352848128344541,-5323.08637219706,-1186.80910941803
"520",520,6,130.77381202923,0.00276743032263951,-5355.23453913321,-1166.46413558096
"521",521,6,147.419212309307,0.00460246983288941,-5326.53443086744,-1187.95104305402
"522",522,6,154.120717383961,0.0080080921432282,-5328.18080436271,-1187.60082730242
"523",523,6,116.57359375583,0.00398062906689182,-5326.09193295115,-1182.18849626924
"524",524,6,149.514422663556,0.00322070750165199,-5316.21966587355,-1195.31046397442
"525",525,6,147.353312104033,0.00283892468844931,-5319.15091223362,-1200.01533702166
"526",526,6,141.768078645698,0.00463842857408756,-5323.40635988947,-1189.50122721433
"527",527,6,112.640354196136,0.00675581954449372,-5327.70214742264,-1184.87725949711
"528",528,6,129.084321830861,0.0075490180416928,-5326.47508403175,-1185.56491848432
"529",529,6,175.460601971582,0.00438176338707883,-5321.30649541452,-1186.8205483343
"530",530,5,102.011778727807,0.0352131652853532,-5337.14516685785,-1169.89212725109
"531",531,6,176.327373753412,0.0040280648846779,-5326.59035186298,-1189.24662527567
"532",532,6,175.960483241187,0.00848901798927126,-5324.12537298838,-1192.07961649938
"533",533,6,176.347872538791,0.00452838774620185,-5322.38235391518,-1193.44221781398
"534",534,6,172.846904590881,0.00617390978094358,-5313.54904548304,-1197.29253177659
"535",535,5,97.3302214115428,0.0403940462780115,-5342.53030361241,-1164.10639524026
"536",536,4,100.590235353673,0.0458498898221603,-5444.19685151648,-1057.33642305655
"537",537,5,160.072888178992,0.00586598654736996,-5423.77895264308,-1083.02436414993
"538",538,5,189.074963074923,0.00315826574504231,-5429.68839625984,-1077.29726923084
"539",539,5,237.327923293781,0.00616624484352087,-5420.72591157632,-1087.55913501608
"540",540,5,189.738880061766,0.00693410366955816,-5427.90323579704,-1082.43565351254
"541",541,5,169.722891314926,0.00240818894598156,-5427.172363099,-1078.25954369098
"542",542,5,199.802367040292,0.00477559815077637,-5418.68796529971,-1091.44124028885
"543",543,5,161.905426430397,0.0059520536209405,-5417.14778817963,-1103.48055661581
"544",544,5,196.364813352253,0.00218679430952571,-5423.43563625105,-1085.63390983615
"545",545,6,99.9398323905681,0.00368142182384245,-5405.23346862079,-1115.37192373349
"546",546,5,146.223071783963,0.00461885688054761,-5427.67455819499,-1085.18428262774
"547",547,4,210.880514825627,0.0058271746126273,-5501.43619362035,-1006.99233738981
"548",548,4,171.3582624805,0.00613155888413962,-5505.74515140944,-1002.29115308282
"549",549,4,276.368463445792,0.0030067297993913,-5495.17181847692,-1013.64259799989
"550",550,6,146.199834679285,0.00445831262467501,-5360.97613413125,-1161.38712003024
"551",551,6,188.697104996755,0.00738343255322786,-5342.84949017248,-1174.34164184598
"552",552,6,125.814464547526,0.00447159387647234,-5319.13704928179,-1195.08676643646
"553",553,6,196.662348714219,0.00272062290262444,-5327.28909363716,-1187.36051400039
"554",554,6,241.949674538634,0.00275625707938371,-5329.16963621189,-1190.90768000533
"555",555,6,194.448068840229,0.00748586470281853,-5324.96082426585,-1187.27623673431
"556",556,5,102.483014728761,0.0421122625147537,-5344.11803601691,-1165.86040938634
"557",557,6,153.023457982803,0.00527440621006911,-5322.64966672947,-1192.70799623205
"558",558,6,157.82461375818,0.00370499754516961,-5308.21760281201,-1204.42049271812
