"","it","t_mid","K","time","br","pr"
"15376",4001,11.6353910069845,671.381772916038,-36.9913755446276,956,0.775842573491069
"15377",4001,13.3131226542731,319.651789153067,-31.3582049517204,553,0.0961347858577728
"15378",4001,28.2130028088356,352.158341570023,-35.6556144514328,827,0.0874516338620305
"15379",4001,44.0711069161933,325.57898523276,-49.4099268371787,161,0.0355079747467535
"15380",4002,12.3991419474257,687.033668757387,-36.9913755446276,956,0.772213907002409
"15381",4002,13.7388643784666,424.804808660561,-31.3582049517204,553,0.104271709082036
"15382",4002,16.0479063182409,165.403366572471,-35.303396970248,827,0.0849213565188272
"15383",4002,16.1276310033566,93.6450533935923,-44.9314192318048,272,0.0355136148448998
"15384",4003,13.1129916959608,745.81939111969,-36.9913755446276,956,0.769641720290076
"15385",4003,13.8313236688323,362.744598630413,-31.3582049517204,553,0.109961020024682
"15386",4003,19.0586709210791,220.997207844495,-35.303396970248,827,0.0859406902064905
"15387",4003,28.7473123320476,200.383892903069,-45.2446593151004,272,0.0291525939843177
"15388",4004,13.799216514939,751.547053747483,-36.9913755446276,956,0.75160552793882
"15389",4004,13.9097452779692,361.318689134288,-31.7366932873676,552,0.127997212375938
"15390",4004,15.9972798943822,190.230945434806,-35.2213279845285,827,0.0763108829581761
"15391",4004,18.7118840091224,78.0583965584493,-47.4043730803062,272,0.039523735029913
"15392",4005,11.9341212491306,648.856069273543,-36.9102178483776,956,0.760296557659718
"15393",4005,15.5987208125604,411.800620054458,-31.7368309651974,552,0.110327687583156
"15394",4005,9.33791511075522,79.7305935521904,-35.3484636707985,827,0.0963977223691786
"15395",4005,22.1689805342068,156.082647649682,-45.1180660084071,272,0.031237627210152
"15396",4006,11.9341212491306,648.856069273543,-36.9170016563094,956,0.771432207546889
"15397",4006,17.9040029990532,551.414483608485,-31.228432379304,553,0.110327687583156
"15398",4006,15.0037330016089,149.19095068672,-35.298554414345,827,0.0748492005798317
"15399",4006,29.9311624133687,256.0497406362,-45.7726984812043,272,0.0370178934662215
"15400",4007,9.93245328804029,586.593607554724,-36.9170016563094,956,0.784022338491565
"15401",4007,20.8833737848581,772.908729471905,-31.0906958297406,554,0.105296401068278
"15402",4007,13.8213248347944,148.615485140802,-35.2574369131588,827,0.0754754393014424
"15403",4007,17.1799647907071,72.6247966324538,-47.5105931170246,272,0.0337589433082682
"15404",4008,12.2148395641295,653.410286953486,-36.9854779978784,956,0.755773140831466
"15405",4008,13.802309348751,377.46380199045,-31.4186199915197,553,0.111935090188659
"15406",4008,12.6590876758889,131.137773227345,-35.0048017886175,827,0.0908232999639411
"15407",4008,11.5890490109284,107.021512601563,-45.2565841074872,272,0.0336619645812998
"15408",4009,16.7108056798335,959.682148269676,-36.9854779978784,956,0.74990331303557
"15409",4009,14.5518749428004,391.767216745918,-31.8029478848995,552,0.122997292068788
"15410",4009,20.0386395416493,188.798307984127,-37.6275655769815,605,0.0865552833473221
"15411",4009,36.2570268710027,198.393933315594,-46.761547777329,272,0.0385542660519148
"15412",4010,13.8180162381304,763.267310658327,-37.0161645134064,956,0.761293484000715
"15413",4010,12.7115480130631,280.436076999952,-31.9735569003018,552,0.105009134203596
"15414",4010,20.6548514686014,205.716029943912,-36.4558173283907,716,0.0922330359779275
"15415",4010,33.4959072668665,177.618161914391,-46.6226039646682,272,0.0361748234043805
"15416",4011,12.9186219221506,730.828565722495,-37.0403199432428,956,0.773285673829269
"15417",4011,11.6269484856067,240.965115951008,-31.9735569003018,552,0.108670209800279
"15418",4011,16.878821898874,204.62113028933,-36.4191027827963,716,0.0837084564692854
"15419",4011,27.8005569513441,150.183292494905,-45.8810718870486,272,0.0278332838602373
"15420",4012,12.1812012503831,692.721237999906,-36.9267436663089,956,0.775258070097873
"15421",4012,11.9858121582951,280.307125146873,-31.3142628704195,553,0.104881439052546
"15422",4012,12.6022752856155,161.041371827102,-34.7252457273851,827,0.0786815939232521
"15423",4012,21.0424591733788,135.485189974329,-45.4139150096423,272,0.0344183991747355
"15424",4013,12.713615442106,715.137339994487,-36.9267436663089,956,0.775258070097873
"15425",4013,12.3776906022708,294.488586563499,-31.3323518383803,553,0.105305060098097
"15426",4013,13.5798169892607,112.422848830695,-35.6222513238156,827,0.0729039771278582
"15427",4013,15.0763492687599,72.0490234072985,-45.1589868921311,272,0.0400558788131893
"15428",4014,14.5262164599662,799.433305343023,-36.9267436663089,956,0.755814632853031
"15429",4014,10.9944484244825,232.573242152575,-31.3323518383803,553,0.11047190644227
"15430",4014,5.85467449682998,70.8350322821971,-34.870255205048,827,0.0953855352177517
"15431",4015,11.287655997595,598.456741550933,-36.9267436663089,956,0.740039535455888
"15432",4015,7.90911415673271,159.547418560565,-30.8653361911554,554,0.116783881546242
"15433",4015,8.30660188769484,81.2639287883133,-34.9810089082639,827,0.104848657510923
"15434",4016,13.3728981981062,708.495141534219,-36.9267436663089,956,0.766029707838158
"15435",4016,11.0564985303493,200.837922284452,-31.3587693451006,553,0.100923425485164
"15436",4016,10.8232948413703,80.7294835263313,-36.3754947065892,716,0.0818594943881936
"15437",4017,11.2407306726917,633.88275802948,-36.9267436663089,956,0.780393005723544
"15438",4017,10.9776441781845,281.401711321415,-31.3587693451006,553,0.114681429477881
"15439",4017,11.0412212754523,100.963595000379,-37.2593084882535,605,0.0818594943881936
"15440",4017,15.2855058307602,83.3813419090143,-45.5607808302201,272,0.0215831677488389
"15441",4018,13.9126303677033,771.109905694106,-36.9267436663089,956,0.775331927942952
"15442",4018,10.7079912793808,235.940203157592,-31.7170816829359,552,0.110585780276537
"15443",4018,11.0106199354934,124.801979310977,-34.8929711033439,827,0.0720732092186743
"15444",4018,6.31236053960892,65.6908122617941,-44.8515829452286,272,0.0396398138853811
"15445",4019,13.2428659305607,714.96326154115,-36.9267436663089,956,0.775331927942952
"15446",4019,14.3658876502859,332.376584897399,-31.9573685738454,552,0.110585780276537
"15447",4019,13.1629778212315,120.783703263408,-35.5662597179845,827,0.0710404591919219
"15448",4019,14.1818045205231,60.9541593372373,-45.9106890736871,272,0.037662739241449
"15449",4020,12.4880452190128,676.119654446725,-36.9267436663089,956,0.775331927942952
"15450",4020,13.5579446124547,322.689472225502,-31.3800765228481,553,0.116707596926583
"15451",4020,10.4019076896701,102.219359378665,-34.9367662989045,827,0.0709710866148854
"15452",4020,8.92229379913427,66.5382668221276,-45.1457100619627,272,0.0327237761464163
"15453",4021,13.5862716396324,737.453766918112,-36.9267436663089,956,0.774713149864439
"15454",4021,15.7966594093393,383.561492777556,-31.2390845234311,553,0.0981713252629932
"15455",4021,10.6757199933419,105.526126612972,-34.8805403176549,827,0.0765500935631
